Project Name,Lat,Lon,Energy,Installed Capacity (kW),Registered As
Greater Manchester Community Renewables,53.48334,-2.23409,Solar,319,Community Benefit Society
Green Energy Nayland ,51.97402,0.875914,Solar,25,Registered Society
Green Fox Community Energy,52.63048,-1.16018,Solar,50,Registered society
Green Wedmore [Wedmore  Power Co-operative],51.22521,-2.81069,Solar,110,Registered society
Grimsby Community Energy,53.57138,-0.07317,Solar,200,Community Benefit Society
Harborough Energy ,52.5108,-0.83029,Solar,253,Private company limited by guarantee without share capital
Harbury Energy Initiative,52.23716,-1.45446,Solar,12,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Heart of England Community Energy ,50.23606,-5.18826,Solar,15000,Community Benefit Society
Hertford Energy Now,51.79714,-0.08747,Solar,60,Registered society
HKD Energy ,50.92293,-0.11365,Solar,99,Community Benefit Society
Hook Norton Low Carbon,51.99663,-1.4937,Solar,50,Registered Society
John Cleveland College  Woodheat Co-op,52.54679,-1.35297,Solar,50,School
Kelsale-cum-Carlton Community Energy ,52.23353,1.497766,Solar,8,Registered Society
Lambeth  Solar,51.42288,-0.09974,Solar,145,Community Benefit Society
Leominster  Solar,52.71313,-2.75194,Solar,49,Private limited Company
Leominster Sunrise Cooperative,52.71313,-2.75194,Solar,91,Registered society
Low Carbon Chilterns Cooperative,51.62007,-0.64587,Solar,20,Registered society
Low Carbon Gordano,51.47076,-2.59305,Solar,2992,Registered Society
Low Carbon Hub,51.75427,-1.19797,Solar,3500,Private limited Company
Lymm Community Energy ,53.38587,-2.4653,Solar,126,Community Benefit Society
MaidEnergy,51.52147,-0.72327,Solar,390,Registered Society
Malvern Community Energy Cooperative,52.11404,-2.32273,Solar,30,Private limited Company
Meadow Blue Community Energy ,50.87248,0.011339,Solar,5000,Community Benefit Society
Meadows Ozone Energy Services Company,52.93659,-1.14317,Solar,90,Private company limited by guarantee without share capital
Monk Fryston and Hillam Commiunity Assocaition,53.7548,-1.23079,Solar,15,Charitable incorporated organisation
Morecambe Bay Community Renewables[MORE],54.07604,-2.7559,Solar,99,Registered society
Nadder Community Energy,51.06684,-2.08327,Solar,597,Community Benefit Society
North Kensington Community Energy,51.46471,-0.1151,Solar,224,Community Benefit Society
Nottinghamshire Community Energy (Mongoose),51.48584,-0.11848,Solar,5000,Registered society
Oldham  Power,53.54149,-2.09983,Solar,220,Community Benefit Society
Orchard Community Energy,51.48598,-0.11839,Solar,5156,Community Benefit Society
OVESCO ,50.87248,0.011339,Solar,308,Registered Society
Plymouth Energy  [Ernesettle  Solar],50.36681,-4.15258,Solar,6200,Private limited Company
Pomona Solar Cooperative ,52.7149,-2.751,Solar,300,Registered society
Power for Good Co-operative ,52.55386,-1.83622,Solar,45,Registered Society
Power Up North London,51.55054,-0.13178,Solar,313,Community Benefit Society
Reading Community Energy ,51.45293,-0.97359,Solar,572,Community Benefit Society
Repower Balcombe,51.05964,-0.13528,Solar,185,Registered society
Riding Sunbeams,51.45172,-2.60388,Solar,30,Private company limited by guarantee without share capital
Salisbury Community Energy,51.07334,-1.7897,Solar,206,Community Benefit Society
Schools' Energy Cooperative,50.85575,0.458301,Solar,3361,School
Sheffield Renewables ,53.3629,-1.46689,Solar,176,Registered Society
Sheriffhales Community Energy,51.48584,-0.11848,Solar,3173,Community Benefit Society
Solar for Schools CBS ,51.98986,0.598426,Solar,3966,Community Benefit Society
Solid Carbon Storage ,53.56457,-1.50394,Solar,3,Private company limited by guarantee without share capital
South Brent Community Energy Solar,50.42601,-3.83338,Solar,9.88,Registered society
South East London Community Energy,51.48593,0.009065,Solar,510,Registered Society
South Hill Association for Renewable Energy,50.51725,-4.36825,Solar,44,Community Benefit Society
South Somerset Community Energy ,51.0553,-2.42136,Solar,449,Community Benefit Society
Southern Staffordshire Community Energy,52.71488,-2.75248,Solar,299,Registered Society
Southill Community Energy,51.85789,-1.47487,Solar,4560,Community Benefit Society
Sport in Desford,52.62183,-1.29303,Solar,10,Charitable incorporated organisation
St. John's Sunshine,53.45714,-2.26816,Solar,10,Registered society
Stockwood  Benefit  ,52.23271,-2.00867,Solar,50,Registered Society
Sunrise Community Energy,52.04943,1.154702,Solar,30,Community Benefit Society
Sustainable Energy 24,51.4598,-0.09674,Solar,342,Community Benefit Society
Sustainable Kirtlington,51.86988,-1.27455,Solar,10,Registered society
Tamar Energy ,50.5409,-4.22416,Solar,325,Registered Society
Teign Energy Communities ,50.52057,-3.55546,Solar,100,Community Benefit Society
Torrs Hydro New Mills,53.36623,-2.00199,Solar,63,Registered Society
Totnes Renewable Energy ,50.43089,-3.69123,Solar,266,Registered Society
Two Rivers Community Energy ,54.11817,-3.24167,Solar,842,Community Benefit Society
UniSolar ,51.52235,-0.12926,Solar,30,Community Benefit Society
Vauxhall Energy,51.46471,-0.1151,Solar,65,Community Benefit Society
Wadebridge Renewable Energy Network [WREN],50.52012,-4.82324,Solar,100,Registered society
Wedmore  Power Cooperative,51.21246,-2.83912,Solar,1000,Registered society
West Oxford  Renewables,51.75073,-1.26294,Solar,202,Registered Society
West Solent Solar,50.75014,-1.61197,Solar,2450,Private limited Company
Westmill Solar Cooperative,51.61762,-1.6458,Solar,5000,Registered society
Westmill Sustainable Energy Trust,51.63048,-1.29874,Solar,14,Charitable incorporated organisation
Wey Valley Solar Schools Energy Cooperative,50.63681,-2.46957,Solar,608,School
Whalley  Hydro,53.86433,-2.38555,Solar,100,Registered Society
Wight Community Energy,50.69524,-1.41946,Solar,3878,Community Benefit Society
Wiltshire Wildlife Community Energy (Braydon Solar Farm),51.64335,-1.79431,Solar,5000,Private limited Company
Wiltshire Wildlife Community Energy (Chelworth Solar Farm),51.62807,-1.88735,Solar,1000,Private limited Company
Wolverton Community Energy,52.06559,-0.81972,Solar,350,Community Benefit Society
Yealm Community Energy (Creacombe),50.33303,-3.97803,Solar,7300,Registered society
Yealm Community Energy (Newton Downs Solar Farm),50.32933,-4.03321,Solar,5000,Registered society
HKD Energy ,50.92193,-0.13778,Solar,80,Community Benefit Society
Oldham  Power,53.50956,-2.16676,Solar,34,Community Benefit Society
Goring & Streatley Sustainability Group,52.00047,-1.48176,Solar,17.4,Private company limited by guarantee without share capital
Goring & Streatley Sustainability Group,51.99988,-1.4816,Solar,50,Private company limited by guarantee without share capital
Hook Norton Low Carbon,51.99757,-1.48782,Solar,49.9,Registered Society
Low Carbon Hub,52.02786,-1.36802,Solar,106,Private limited Company
Low Carbon Hub,52.06203,-1.3623,Solar,100,Private limited Company
Low Carbon Hub,52.07394,-1.32443,Solar,250,Private limited Company
Low Carbon Hub,52.05937,-1.31025,Solar,636,Private limited Company
Low Carbon Hub,52.05937,-1.31025,Solar,712,Private limited Company
Low Carbon Hub,52.04957,-1.34438,Solar,99.8,Private limited Company
Low Carbon Hub,51.90241,-1.15815,Solar,40.2,Private limited Company
Low Carbon Hub,51.90964,-1.15842,Solar,60,Private limited Company
Low Carbon Hub,51.89997,-1.14685,Solar,48.6,Private limited Company
Two Rivers Community Energy  ,52.07603,-1.31926,Solar,48,Community Benefit Society
Energize Barnsley (Gen Comm),53.55422,-1.48272,Solar,600,Overseas entity
Energize Barnsley (Gen Comm),53.57947,-1.45124,Solar,900,Overseas entity
Baywind Energy Coop ,54.15768,-3.18221,Solar,23,Registered society
Basingstoke Energy Services Co-operative,51.2657,-1.09924,Solar,50,Registered Society
Basingstoke Energy Services Cooperative,51.2657,-1.09924,Solar,10,Registered society
Basingstoke Energy Services Cooperative,51.26336,-1.09596,Solar,100,Registered society
Bath & West Community Energy,51.38023,-2.35731,Solar,38,Registered society
Bath & West Community Energy,51.38682,-2.3949,Solar,37,Registered society
Bath & West Community Energy,51.39324,-2.40693,Solar,46,Registered society
Bath & West Community Energy,51.35702,-2.37514,Solar,10,Registered society
Bath & West Community Energy,51.38121,-2.37732,Solar,7,Registered society
Bath & West Community Energy,51.36294,-2.33491,Solar,45,Registered society
The Schools' Energy Cooperative ,50.85499,0.45532,Solar,150,School
 Energy Birmingham ,52.52117,-1.78404,Solar,5,Registered Society
 Energy Birmingham ,52.52117,-1.78404,Solar,50,Registered Society
Calleva Community Energy,52.48866,-1.88722,Solar,100,Registered Society
Two Rivers Community Energy  ,52.39507,-1.985,Solar,48,Community Benefit Society
 Energy Birmingham ,52.46006,-1.85035,Solar,10,Registered Society
 Energy Birmingham ,52.4597,-1.86028,Solar,20,Registered Society
 Energy Birmingham ,52.4597,-1.86028,Solar,19,Registered Society
 Energy Birmingham ,52.4597,-1.86028,Solar,19,Registered Society
 Energy Birmingham ,52.4597,-1.86028,Solar,10,Registered Society
Gwent Energy CIC,51.7315,-3.13321,Solar,5,"Private limited Company
                       Community Interest Company (CIC)"
Brighton Energy Coop,50.81389,-0.55327,Solar,60,Private company limited by guarantee without share capital
Brighton Energy Coop,50.81853,-0.5564,Solar,90,Private company limited by guarantee without share capital
Brighton Energy Coop,50.81389,-0.55327,Solar,60,Private company limited by guarantee without share capital
Brighton Energy Coop,50.8129,-0.58413,Solar,100,Private company limited by guarantee without share capital
Meadow Blue Community Energy ,50.80717,-0.72882,Solar,5000,Community Benefit Society
Green Fox Community Energy Co-operative,52.54719,-1.35323,Solar,50,Registered Society
Green Fox Community Energy Co-operative,52.68836,-1.31111,Solar,5,Registered Society
Sport in Desford,52.62186,-1.29307,Solar,44,Private limited Company
The Schools' Energy Cooperative ,50.73116,-1.83808,Solar,50,School
The Schools' Energy Cooperative ,50.7516,-1.82943,Solar,11.1,School
The Schools' Energy Cooperative ,50.74769,-1.85855,Solar,29,School
The Schools' Energy Cooperative ,50.74989,-1.89039,Solar,28.5,School
The Schools' Energy Cooperative ,50.76248,-1.91364,Solar,50,School
The Schools' Energy Cooperative ,50.76452,-1.92027,Solar,50,School
The Schools' Energy Cooperative ,50.74603,-1.92923,Solar,30,School
Green Energy Nayland ,51.96966,0.76043,Solar,9.6,Registered Society
Gwent Energy CIC,52.01224,-3.41425,Solar,20,"Private limited Company
                       Community Interest Company (CIC)"
Gwent Energy CIC,52.34385,-3.0467,Solar,3,"Private limited Company
                       Community Interest Company (CIC)"
Talybont on Usk Energy,51.89648,-3.29031,Solar,8,Private Limited Company by guarantee without share capital use of 'Limited' exemption
The Schools' Energy Cooperative ,51.6381,0.33071,Solar,49.7,School
The Schools' Energy Cooperative ,51.6381,0.33071,Solar,29.1,School
Brendon Energy,51.1106,-2.9983,Solar,40,Registered Society
Brendon Energy,51.07226,-3.4992,Solar,10,Registered Society
Bristol Energy Cooperative,51.1405,-2.99291,Solar,4600,Registered society
Brighton & Hove Energy Services Co-operative (BHESCo),50.84438,-0.09769,Solar,4,Registered society
OVESCO Sunny Solar Schools,50.82088,-0.11794,Solar,30,School
Brighton & Hove Energy Services Co-operative (BHESCo),50.82142,-0.14295,Solar,12,Registered society
Brighton & Hove Energy Services Co-operative (BHESCo),50.82747,-0.13802,Solar,4,Registered society
Brighton & Hove Energy Services Co-operative (BHESCo),50.84278,-0.14265,Solar,2,Registered society
Bristol Energy Cooperative,51.4258,-2.56176,Solar,50,Registered society
Bristol Energy Cooperative,51.51255,-2.61172,Solar,13,Registered society
Bristol Energy Cooperative,51.50326,-2.65996,Solar,4200,Registered society
Low Carbon Gordano,51.51473,-2.65719,Solar,1830,Registered Society
Bristol Energy Cooperative,51.42539,-2.59252,Solar,25,Registered society
Bristol Energy Cooperative,51.45431,-2.60203,Solar,10,Registered society
Bristol Energy Cooperative,51.46939,-2.57846,Solar,138,Registered society
Bristol Energy Cooperative,51.46614,-2.57246,Solar,20,Registered society
Bristol Energy Cooperative,51.46187,-2.56323,Solar,42,Registered society
Two Rivers Community Energy  ,51.71665,-0.03776,Solar,150,Community Benefit Society
Gawcott Fields  Solar Project CIC,51.98807,-1.00056,Solar,4180,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Pennine  Power,53.75261,-2.05445,Solar,12,Registered Society
Sustainable Energy 24,51.48287,-0.09491,Solar,30,Community Benefit Society
 Power Cornwall,50.23107,-5.28757,Solar,22.8,Registered Society
 Power Cornwall,50.25711,-5.23846,Solar,10,Registered Society
 Power Cornwall,50.28232,-5.20374,Solar,49.2,Registered Society
Two Rivers Community Energy  ,50.19557,-5.39754,Solar,215,Community Benefit Society
Chase  Solar ,52.71861,-1.99669,Solar,300,Registered Society
CATHAYS & CENTRAL YOUTH AND COMMUNITY PROJECT,51.49133,-3.18079,Solar,5,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Gwent Energy CIC,51.49678,-3.17913,Solar,21,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Carmarthenshire Energy  / Ynni Sir Gar,51.92026,-4.00373,Solar,10,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Egni - Wales Solar Cooperative,51.80511,-3.90513,Solar,50,Private limited Company
Egni Sir Gar (Gen Comm),51.85555,-4.30526,Solar,650,Registered society
Exeter Community Energy ,50.6873,-3.55104,Solar,40,Registered Society
The Schools' Energy Cooperative ,51.35037,0.52601,Solar,48.9,School
The Schools' Energy Cooperative ,53.24765,-1.34111,Solar,29.6,School
Ferry Farm  Solar ltd/ Ferry Farm  Solar CIC,50.75767,-0.78452,Solar,5000,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Bath & West Community Energy,51.32521,-2.18033,Solar,49,Registered society
Bath & West Community Energy,51.44727,-2.20148,Solar,250,Registered society
Bath & West Community Energy,51.43047,-2.19236,Solar,50,Registered society
Bath & West Community Energy,51.41921,-2.17516,Solar,50,Registered society
Chester Community Energy ,53.19599,-2.89102,Solar,50,Community Benefit Society
Harborough Energy ,52.49716,-0.71756,Solar,19.8,Private company limited by guarantee without share capital
Harborough Energy ,52.49716,-0.71756,Solar,16.6,Private company limited by guarantee without share capital
Brixton Energy,51.46891,-0.10504,Solar,37.2,Registered society
Brixton Energy,51.46664,-0.10381,Solar,45,Registered society
Sustainable Energy 24,51.45857,-0.07478,Solar,90,Community Benefit Society
Sustainable Energy 24,51.4588,-0.09239,Solar,9.9,Community Benefit Society
Sustainable Energy 24,51.4588,-0.09239,Solar,9.4,Community Benefit Society
The Schools' Energy Cooperative ,51.5039,-0.30556,Solar,8.8,School
The Schools' Energy Cooperative ,51.55284,-0.35055,Solar,29.8,School
The Schools' Energy Cooperative ,51.55079,-0.33597,Solar,50,School
The Schools' Energy Cooperative ,51.55043,-0.33522,Solar,50,School
The Schools' Energy Cooperative ,51.52278,-0.32885,Solar,19.8,School
The Schools' Energy Cooperative ,51.51536,-0.32342,Solar,18.1,School
The Schools' Energy Cooperative ,51.52404,-0.37411,Solar,30,School
The Schools' Energy Cooperative ,51.49681,-0.37574,Solar,30,School
The Schools' Energy Cooperative ,51.5014,-0.3209,Solar,13.8,School
Exeter Community Energy ,50.72473,-3.46936,Solar,100,Registered Society
Brighton Energy Coop,50.83114,-0.23819,Solar,499,Private company limited by guarantee without share capital
Brighton Energy Coop,50.75934,0.2683,Solar,120,Private company limited by guarantee without share capital
Brighton Energy Coop,50.75548,0.26547,Solar,30,Private company limited by guarantee without share capital
The Schools' Energy Cooperative ,50.80475,0.26863,Solar,47.3,School
The Schools' Energy Cooperative ,50.79839,0.28509,Solar,29.6,School
Ashton HaOperational Community Energy C.I.C.,53.21472,-2.74531,Solar,9.9,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Ashton HaOperational Community Energy C.I.C.,53.22067,-2.74071,Solar,29.4,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Two Rivers Community Energy  ,53.26029,-2.89043,Solar,90,Community Benefit Society
South East London Community Energy,51.46207,0.06195,Solar,49.5,Registered Society
South East London Community Energy,51.44636,0.08654,Solar,49.5,Registered Society
Wey Valley Solar Schools Energy Co-Operative ,51.31538,-0.21507,Solar,94,School
South East London Community Energy,51.48681,0.09603,Solar,29.5,Registered Society
Exeter Community Energy ,50.73046,-3.46973,Solar,150,Registered Society
Exeter Community Energy ,50.71382,-3.49948,Solar,20,Registered Society
Exeter Community Energy ,50.69622,-3.49094,Solar,20,Registered Society
Exeter Community Energy ,50.72512,-3.5305,Solar,29,Registered Society
Exeter Community Energy ,50.73107,-3.503,Solar,17,Registered Society
Two Rivers Community Energy  ,51.34116,0.57298,Solar,108,Community Benefit Society
Gloucestershire Community Energy Cooperative ,51.8582,-2.2306,Solar,46,Private limited Company
Grimsby Community Energy,53.56313,-0.09462,Solar,10.4,Community Benefit Society
Grimsby Community Energy,53.57315,-0.07758,Solar,48.6,Community Benefit Society
Grimsby Community Energy,53.57315,-0.07758,Solar,29.9,Community Benefit Society
Grimsby Community Energy,53.56951,-0.07398,Solar,4.7,Community Benefit Society
Grimsby Community Energy,53.56936,-0.07452,Solar,4.2,Community Benefit Society
South East London Community Energy,51.48855,0.06075,Solar,49.5,Registered Society
South East London Community Energy,51.4817,0.04623,Solar,49.5,Registered Society
Wey Valley Solar Schools Energy Co-Operative ,51.25385,-0.54791,Solar,198,School
Wey Valley Solar Schools Energy Co-Operative ,51.24613,-0.54467,Solar,43.7,School
Wey Valley Solar Schools Energy Co-Operative ,51.23417,-0.58548,Solar,17.5,School
Brighton & Hove Energy Services Co-operative (BHESCo),51.53347,-0.0917,Solar,4.2,Registered Society
Hackney Energy,51.54877,-0.04742,Solar,102,Private limited Company
Repowering London (),51.54862,-0.04636,Solar,101.5,Private company limited by guarantee without share capital
The Schools' Energy Cooperative ,51.5571,-0.04033,Solar,50,School
Brent Pure Energy,51.54051,-0.21858,Solar,50,Community Benefit Society
Harborough Energy ,52.47592,-0.93995,Solar,10.4,Private company limited by guarantee without share capital
Harborough Solar One ,52.43956,-1.05216,Solar,103,Community Benefit Society
Brighton Energy Coop,50.86959,0.59012,Solar,220,Private company limited by guarantee without share capital
Wey Valley Solar Schools Energy Co-Operative ,50.86029,0.5583,Solar,30,School
Grand Union Community Energy .,51.71213,-0.45947,Solar,50,Registered society
Low Carbon Hub,51.75436,-1.13684,Solar,48.8,Private limited Company
Low Carbon Hub,51.51551,-0.9804,Solar,23,Private limited Company
Low Carbon Hub,51.53301,-1.06817,Solar,103.7,Private limited Company
Low Carbon Hub,51.5752,-0.99169,Solar,29.9,Private limited Company
Pomona Solar Cooperative ,51.99252,-2.99812,Solar,300,Registered society
Hertford Energy Now,51.80982,0.05701,Solar,10,Registered society
Hertford Energy Now,51.78797,-0.07962,Solar,24,Registered society
Hertford Energy Now,51.79901,-0.08423,Solar,25,Registered society
The Schools' Energy Cooperative ,53.36507,-1.99712,Solar,22.7,School
The Schools' Energy Cooperative ,51.95116,-0.27851,Solar,47.1,School
Power Up North London,51.5627,-0.15111,Solar,19,Community Benefit Society
The Schools' Energy Cooperative ,51.55462,-0.15296,Solar,29.6,School
The Schools' Energy Cooperative ,51.55742,-0.13962,Solar,48.4,School
UniSolar ,51.52235,-0.12926,Solar,29.6,Community Benefit Society
en10ergy,51.59464,-0.14622,Solar,20,Registered Society
en10ergy,51.59012,-0.1436,Solar,45,Registered Society
en10ergy,51.6035,-0.10096,Solar,12,Registered Society
Repower Balcombe,51.11812,-0.08279,Solar,18,Registered society
Repower Balcombe,51.10342,-0.08681,Solar,16,Registered society
Repower Balcombe,51.12452,-0.07531,Solar,50,Registered society
Repower Balcombe,51.05635,-0.14815,Solar,10,Registered society
Brighton & Hove Energy Services Co-operative (BHESCo),50.83288,-0.18022,Solar,4,Private limited Company
Brighton Energy Coop,50.85064,-0.22577,Solar,100,Private company limited by guarantee without share capital
Sunrise Energy,52.05255,1.1626,Solar,30,Community Benefit Society
Wight Community Energy,50.69568,-1.42672,Solar,3878,Community Benefit Society
Gwent Energy CIC,51.67888,-3.1796,Solar,4.8,"Private limited Company
                       Community Interest Company (CIC)"
North Kensington Community Energy (Repowering),51.52406,-0.2245,Solar,23,Registered society
North Kensington Community Energy (Repowering),51.51491,-0.21039,Solar,30,Registered society
North Kensington Community Energy (Repowering),51.51089,-0.21443,Solar,30,Registered society
Morecambe Bay Community Renewables(we shorten this to MORE Renewables),54.04473,-2.80457,Solar,10,Registered society
The Schools' Energy Cooperative ,53.74257,-1.54826,Solar,29.1,School
OVESCO ,50.87875,-0.0043,Solar,30,Registered Society
OVESCO ,50.87154,0.01218,Solar,98,Registered Society
OVESCO ,50.86911,0.01695,Solar,35,Registered Society
OVESCO ,50.89537,0.0673,Solar,35,Registered Society
OVESCO ,50.89537,0.0673,Solar,30,Registered Society
OVESCO ,50.91599,0.01583,Solar,9,Registered Society
OVESCO Sunny Solar Schools,50.89537,0.0673,Solar,30,School
South East London Community Energy,51.44415,-0.05882,Solar,49.5,Registered Society
Sustainable Energy 24,51.42139,-0.05869,Solar,50,Community Benefit Society
South East London Community Energy,51.46965,-0.02589,Solar,49.5,Registered Society
Chase  Solar ,52.70547,-1.80575,Solar,300,Registered Society
Chase  Solar ,52.77695,-1.90592,Solar,300,Registered Society
Southern Staffordshire Community Energy,52.67119,-1.76298,Solar,25,Registered Society
Southern Staffordshire Community Energy,52.67447,-1.76231,Solar,18,Registered Society
Egni - Wales Solar Cooperative,51.72008,-4.24197,Solar,30,Private limited Company
Belchford  Solar Co-operative ,53.26282,-0.05329,Solar,50,Registered Society
MaidEnergy ,51.51511,-0.74445,Solar,37.5,Registered Society
The Schools' Energy Cooperative ,51.52805,-0.7494,Solar,47.8,School
Brighton Energy Coop,51.27954,0.51673,Solar,140,Community Benefit Society
 Energy Greater Manchester (CEGM),53.4835,-2.2141,Solar,4,Registered society
Dorset Community Energy,50.7538,-2.07952,Solar,12,Registered Society
Dorset Community Energy,50.74112,-2.05866,Solar,25,Registered Society
The Schools' Energy Cooperative ,50.73987,-1.97281,Solar,30,School
Repower Balcombe,51.00899,-0.13712,Solar,20.5,Registered society
Repower Balcombe,51.13652,-0.03466,Solar,50,Registered society
Wolverton Community Energy,52.05721,-0.73096,Solar,50,Community Benefit Society
Wolverton Community Energy,52.0476,-0.82353,Solar,280,Community Benefit Society
Dorking Solar Group ,51.227,-0.34073,Solar,4,Community Benefit Society
Dorking Solar Group ,51.23479,-0.3244,Solar,17,Community Benefit Society
Bridges Centre,51.81041,-2.72346,Solar,15,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Crucorney Environmental Group,51.88629,-2.97196,Solar,10,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Gwent Energy CIC,51.81041,-2.72346,Solar,29.6,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Gwent Energy CIC,51.85652,-2.8287,Solar,32,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Morecambe Bay Community Renewables(we shorten this to MORE Renewables),54.0754,-2.75196,Solar,89,Registered society
Egni - Wales Solar Cooperative,51.7718,-3.65804,Solar,21,Private limited Company
Egni - Wales Solar Cooperative,51.74605,-3.61972,Solar,12,Private limited Company
Egni - Wales Solar Cooperative,51.8009,-3.82047,Solar,4,Private limited Company
West Solent Solar Cooperative,50.74136,-1.55204,Solar,2400,Private limited Company
Sustainable Hockerton,53.11039,-0.95907,Solar,29,Registered Society
Sustainable Hockerton,53.10121,-0.93441,Solar,17,Registered Society
Sustainable Hockerton,53.08139,-0.92736,Solar,50,Registered Society
Calleva Community Energy,51.36133,-1.16439,Solar,30,Registered Society
Calleva Community Energy,51.36184,-1.16395,Solar,100,Registered Society
Calleva Community Energy,51.36199,-1.16328,Solar,80,Registered Society
Teign Energy Communities (TECs),50.55342,-3.60229,Solar,50,Registered society
 Power Cornwall,50.62621,-4.35799,Solar,50,Registered Society
Wadebridge Renewable Energy Network,50.46742,-4.76517,Solar,100,Registered society
Dorset Community Energy,50.86465,-2.1715,Solar,50,Registered Society
Dorset Community Energy,50.86224,-2.17145,Solar,50,Registered Society
Bath & West Community Energy,51.41102,-2.38542,Solar,30,Registered society
Bath & West Community Energy,51.3466,-2.49187,Solar,2340,Registered society
